indexNoteChord,ChordNotes
"('C', '7add13')","C,E,G,A#,A"
"('C', '7b5')","C,E,F#,A#"
"('C', '7b5b9')","C,E,F#,A#,C#"
"('C', '7b9')","C,E,G,A#,C#"
"('C', '7sus4')","C,F,G,A#"
"('C', '9')","C,E,G,A#,D"
"('C', '9#11')","C,E,G,A#,D,F#"
"('C', '9#5')","C,E,G#,A#,D"
"('C', '9b13')","C,E,G,A#,D,A"
"('C', '9b5')","C,E,F#,A#,D"
"('C', '9sus4')","C,F,G,A#,D"
"('C', 'add9')","C,E,G,D"
"('C', 'augsus4')","C,F,G#"
"('C', 'm11')","C,D#,G,A#,D,F"
"('C', 'm13')","C,D#,G,A#,D,A"
"('C', 'm6')","C,D#,G,A"
"('C', 'm6add9')","C,D#,G,A,D"
"('C', 'm7')","C,D#,G,A#"
"('C', 'm7add11')","C,D#,G,A#,F"
"('C', 'm7add13')","C,D#,G,A#,A"
"('C', 'm7b5')","C,D#,F#,A#"
"('C', 'm7b9')","C,D#,G,A#,C#"
"('C', 'm9')","C,D#,G,A#,D"
"('C', 'm9b5')","C,D#,F#,A#,D"
"('C', 'm9-Maj7')","C,D#,G,B,D"
"('C', 'madd9')","C,D#,G,D"
"('C', 'Maj11')","C,E,G,B,D,F"
"('C', 'Maj13')","C,E,G,B,D,A"
"('C', 'Maj7')","C,E,G,B"
"('C', 'Maj7#11')","C,E,G,B,F#"
"('C', 'Maj7#5')","C,E,G#,B"
"('C', 'Maj7add13')","C,E,G,B,A"
"('C', 'Maj7b5')","C,E,F#,A#"
"('C', 'Maj9')","C,E,G,B,D"
"('C', 'Maj9#11')","C,E,G,B,D,F#"
"('C', 'Maj9#5')","C,E,G#,B,D"
"('C', 'Maj9sus4')","C,F,G,B,D"
"('C', 'Majb5')","C,E,F#"
"('C', 'mb5')","C,D#,F#"
"('C', 'm-Maj11')","C,D#,G,B,D,F"
"('C', 'm-Maj13')","C,D#,G,B,D,A"
"('C', 'm-Maj7')","C,D#,G,B"
"('C', 'm-Maj7add11')","C,D#,G,B,F"
"('C', 'm-Maj7add13')","C,D#,G,B,A"
"('C', 'tri')","C,D#,F#,A"
"('C', 'Majb7')","C,E,G,A"
"('C', 'Min#5')","C,D#,G#"
"('C', 'Dom7')","C,E,G,A#"
"('C', 'Dom7b5')","C,E,F#,A#"
"('C', 'Dom7#5')","C,E,G#,A#"
"('C', 'Dim7')","C,D#,F#,A"
"('C', 'm#5')","C,D#,G#"
"('C', 'm#7#5')","C,D#,G#,B"
"('C', 'm7#5')","C,D#,G#,B"
"('C', 'Aug-06')","C,E,G#,A"
"('C#', 'Major')","C#,F,G#"
"('C#', 'Minor')","C#,E,G#"
"('C#', 'Aug')","C#,F,A"
"('C#', 'Dim')","C#,E,G"
"('C#', 'Fifth')","C#,G#"
"('C#', 'Fifth_9th')","C#,G#,D#"
"('C#', 'Fifth_Octave')","C#,G#,C#"
"('C#', 'Octave')","C#,C#"
"('C#', 'Sus2')","C#,D#,G#"
"('C#', 'Sus4')","C#,F#,G#"
"('C#', '11')","C#,F,G#,B,D#,F#"
"('C#', '11b9')","C#,F,G#,B,D,F#"
"('C#', '13')","C#,F,G#,B,D#,A#"
"('C#', '13#9')","C#,F,G#,B,E,A#"
"('C#', '13b5b9')","C#,F,G,B,D,A#"
"('C#', '13b9')","C#,F,G#,B,D"
"('C#', '6')","C#,F,G#,A#"
"('C#', '6add9')","C#,F,G#,A#,D#"
"('C#', '6sus4')","C#,F#,G#,A#"
"('C#', '7')","C#,F,G#,B"
"('C#', '7#11')","C#,F,G#,B,G"
